TIPO,,,LECTOR,,,,,,,FICHAPRESTAMO,,,,,,MATERIALBIBLIOGRAFICO,,,,,,LIBRO,,,,,REVISTA,,,,TESIS,
PK,,,FK,,,,,FK,,PK,,,FK,FK,,PK,,,,,,FK,,,,,FK,,,,FK,
ID,DESCRIPCION,,CI,NOMBRE,TELEFONO,CORREO,DIRECCION,IDTIPO,,NRO,FECHA,DIAS,CILECTOR,CODIGOMB,,CODIGO,TITULO,NROPAG,AÑO,TIPO,,CODIGO,EDITORIAL,EDICION,ISBN,,CODIGO,CATEGORIA,NRO,,CODIGO,AREA
1,ESTUDIANTE,,111111,JOAQUIN CHUMACERO,77102030,JCHUMA@GMAIL.COM,URB. Las perlas,2,,100,5/10/2025,2,111111,101,,1000,Bases de datos principiantes,120,2022,L,,1000,ARBOL,1,1-20-580,,2001,Divulgación Científica,Nº 125,,3009,Sistemas de informacion
2,DOCENTE,,222222,Saturnino Mamani,72345612,smamani@gmail.com,av. Landivar 300,1,,101,06/06/2025,3,222222,1002,,3009,Sistema de Inf. Geografica,150,2015,T ,,1010,Grupo de Lógica Computacional,1,978-84-546,,2002,Historia,Nº 340,,3001,Sistemas de informacion
3,ADMINISTRATIVO,,444222,Luis Fernando Díaz,72345678,luis.diaz@hotmail.com,Calle Luna 456,2,,102,06/06/2025,5,555333,1006,,1010,Piensa en Haskell,428,2012,L,,1001,Sudamericana,1,978-84-376,,2003,Ciencia,Nº 410,,3002,Computación
,,,555333,María José Pérez,73456789,maria.perez@outlook.com,Av. del Sol 789,1,,103,07/06/2025,7,666444,3004,,1001,Cien años de soledad,471,1970,L,,1002,Francisco de Robles,1,978-84-376,,2004,Tecnología,Nº 233,,3003,Ingeniería de Software
,,,666444,Carlos Alberto Ruiz,74567890,carlos.ruiz@gmail.com,Zona Norte 321,3,,104,07/06/2025,2,777555,2003,,1002,Don Quijote de la Mancha,863,1605,L,,1003,Planeta,1,84-08-0378,,2005,Biología,Nº 5001,,3004,Bioinformática
,,,777555,Paola Fernanda Gómez,75678901,paola.gomez@yahoo.com,Barrio Central 654,2,,105,08/06/2025,4,888666,1009,,1003,La sombra del viento,565,2001,L,,1004,Secker & Warburg,1,978-0-452-2,,2006,Medicina,Nº 7010,,3005,Sistemas
,,,888666,Jorge Luis Vargas,76789012,jorge.vargas@u.edu.bo,Av. Las Flores 987,1,,106,02/06/2025,3,555333,2002,,1004,1984,328,1949,L,,1005,Sur,1,5-339-1129-4,,2007,Ingeniería,Nº 150,,3006,Tecnología
,,,999777,Tatiana Ríos,77890123,tatiana.rios@gmail.com,Calle 7 Oeste,2,,107,03/06/2025,5,666444,1001,,1005,Ficciones,174,1944,L,,1006,Sudamericana,1,978-84-415-8,,2008,Ciencia,Nº 600, ,3007,Seguridad Informática
,,,111888,Ernesto Salazar,78901234,ernesto.salazar@protonmail.com,Zona Sur 123,3,,108,03/06/2025,2,777555,3001,,1006,Rayuela,601,1963,L,,1007,Losada,1,978-841425-7,,,,,,3008,Educación y Tecnología
,,,,,,,,,,109,04/06/2025,7,888666,1005,,1007,El Aleph,146,1949,L,,1008,Fondo de Cultura Económica,1,978-968091-6,,,,,,,
,,,,,,,,,,110,04/06/2025,4,111888,2004,,1008,Pedro Páramo,124,1955,L,,1009,Oveja Negra,1,978-84-495-4,,,,,,,
,,,,,,,,,,111,05/06/2025,3,222222,3003,,1009,El amor en los tiempos del cólera,348,1985,L,,,,,,,,,,,,
,,,,,,,,,,112,05/06/2025,6,444222,1007,,2001,Ciencia Hoy,125,2023,R,,,,,,,,,,,,
,,,,,,,,,,113,06/06/2025,5,111111,2008,,2002,National Geographic,140,2022,R,,,,,,,,,,,,
,,,,,,,,,,114,06/06/2025,2,555333,3006,,2003,Investigación y Ciencia,132,2021,R,,,,,,,,,,,,
,,,,,,,,,,115,07/06/2025,4,999777,1004,,2004,Muy Interesante,110,2024,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2005,Nature,180,2023,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2006,The Lancet,150,2023,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2007,IEEE Spectrum,160,2024,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2008,Scientific American,145,2022,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3001,Inteligencia Artificial en la educación,120,2020,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3002,Análisis de Algoritmos Genéticos,95,2019,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3003,Desarrollo de videojuegos educativos,150,2021,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3004,Redes neuronales aplicadas a la medicina,175,2022,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3005,Big Data en sistemas gubernamentales,110,2023,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3006,Blockchain y sus aplicaciones,140,2024,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3007,Ciberseguridad en entornos escolares,130,2023,T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3008,Realidad aumentada en la enseñanza,100,2021,T,,,,,,,,,,,,
